iter	Logloss
0	0.6513017702
1	0.617968058
2	0.5960436428
3	0.5703698469
4	0.5525266005
5	0.5411488582
6	0.5300259429
7	0.5222298274
8	0.5148441356
9	0.5077239801
10	0.4997392614
11	0.4879397455
12	0.4790664188
13	0.4743177797
14	0.4687262112
15	0.46556227
16	0.461121506
17	0.4562247884
18	0.4523336933
19	0.4486873385
20	0.4457927099
21	0.4439698484
22	0.4416472156
23	0.4394855034
24	0.4378948919
25	0.4363037399
26	0.4353237244
27	0.4335511237
28	0.4320406808
29	0.4307319684
30	0.4287072455
31	0.4274787308
32	0.4267628243
33	0.4258075389
34	0.4248877989
35	0.424155282
36	0.4234983644
37	0.4230604454
38	0.4223783608
39	0.4215551505
40	0.4205155324
41	0.4194855671
42	0.4189900395
43	0.4182372038
44	0.4177749064
45	0.4171394279
46	0.4167309366
47	0.4164117205
48	0.4160070732
49	0.4155548322
50	0.4151513436
51	0.4148813337
52	0.4145581843
53	0.4142445061
54	0.4139565476
55	0.4131256002
56	0.4126561953
57	0.4124633747
58	0.4122203932
59	0.4117620529
60	0.4111353843
61	0.410907302
62	0.4107370102
63	0.4103863804
64	0.4100024212
65	0.4097717022
66	0.4094750649
67	0.4092369967
68	0.4090719321
69	0.4089652576
70	0.4087439242
71	0.4086180968
72	0.4085085042
73	0.4083866093
74	0.4082760014
75	0.4078824687
76	0.4077222366
77	0.4074752641
78	0.4070172305
79	0.4067812317
80	0.4066235934
81	0.4064939705
82	0.406287589
83	0.4062190527
84	0.406019046
85	0.4058564898
86	0.4055850364
87	0.4054101639
88	0.4052394557
89	0.4052394284
90	0.4051167476
91	0.4050175157
92	0.4048824394
93	0.4047721462
94	0.4046827694
95	0.4045946192
96	0.4044596369
97	0.4043397031
98	0.4042021121
99	0.4040870072
100	0.4039786161
101	0.4038907047
102	0.4036275939
103	0.403541845
104	0.4032295879
105	0.4031063645
106	0.4030063086
107	0.4029107908
108	0.4028245859
109	0.4027464742
110	0.4027464599
111	0.4026731391
112	0.4025813581
113	0.4025048871
114	0.4024984181
115	0.4024983943
116	0.402421257
117	0.402366315
118	0.4022702758
119	0.4022316364
120	0.4021719543
121	0.4021012754
122	0.4020873851
123	0.4020478555
124	0.401969009
125	0.4019051699
126	0.40182968
127	0.401773345
128	0.401660545
129	0.4016560845
130	0.4015568088
131	0.4015552449
132	0.4014856967
133	0.4012647411
134	0.4012258114
135	0.4012182587
136	0.401139336
137	0.400975883
138	0.400857087
139	0.4007907397
140	0.4007907383
141	0.400790738
142	0.4007699874
143	0.4007674883
144	0.4007641722
145	0.4006999844
146	0.4006460734
147	0.4006377074
148	0.4003860802
149	0.4003543279
150	0.4003292895
151	0.4003226748
152	0.4003051906
153	0.4002946684
154	0.4002946617
155	0.4002484144
156	0.4002480776
157	0.400232969
158	0.4001715858
159	0.4001167314
160	0.4000586762
161	0.3999882509
162	0.3999879336
163	0.399987758
164	0.3999526725
165	0.3998892629
166	0.3998387348
167	0.3998321504
168	0.3997784386
169	0.3997734449
170	0.3997302196
171	0.3997302157
172	0.3997047016
173	0.3996401392
174	0.399638817
175	0.3996387466
176	0.399599703
177	0.399558144
178	0.3995535621
179	0.3995534907
180	0.3994997029
181	0.3994959769
182	0.3994957895
183	0.3994956524
184	0.3994880638
185	0.3994559231
186	0.3994497498
187	0.3994031028
188	0.3993478387
189	0.3992923183
190	0.3992871272
191	0.3992862573
192	0.3992707369
193	0.3992676458
194	0.3992621479
195	0.3992418843
196	0.3992417726
197	0.3992158892
198	0.3991637001
199	0.3991144165
