iter	Passed	Remaining
0	53	10674
1	57	5650
2	59	3895
3	61	3021
4	63	2492
5	66	2141
6	68	1892
7	70	1702
8	73	1552
9	75	1432
10	77	1333
11	79	1252
12	82	1183
13	84	1125
14	87	1073
15	88	1022
16	91	980
17	93	944
18	95	911
19	98	887
20	100	859
21	103	833
22	105	810
23	107	789
24	109	768
25	111	747
26	113	727
27	115	710
28	117	695
29	120	681
30	122	667
31	124	654
32	126	641
33	128	629
34	131	618
35	133	608
36	135	598
37	140	600
38	143	591
39	145	582
40	148	573
41	150	565
42	152	555
43	154	547
44	156	539
45	158	531
46	160	523
47	163	516
48	165	509
49	167	502
50	169	495
51	171	488
52	173	481
53	175	475
54	177	468
55	180	463
56	181	456
57	184	450
58	186	445
59	188	439
60	190	434
61	192	429
62	195	424
63	197	419
64	199	414
65	201	409
66	203	404
67	206	399
68	208	395
69	210	390
70	212	386
71	214	381
72	216	376
73	218	372
74	221	368
75	223	364
76	225	359
77	227	355
78	229	351
79	231	347
80	233	343
81	235	339
82	238	335
83	239	331
84	241	327
85	244	323
86	245	319
87	248	315
88	252	315
89	256	313
90	259	310
91	262	308
92	265	305
93	267	301
94	270	298
95	272	295
96	275	292
97	278	289
98	282	288
99	286	286
100	288	283
101	291	279
102	293	276
103	295	273
104	298	269
105	300	266
106	302	262
107	304	259
108	306	256
109	308	252
110	311	249
111	313	246
112	315	243
113	318	239
114	320	236
115	322	233
116	324	230
117	326	227
118	329	224
119	331	221
120	333	218
121	336	214
122	338	211
123	340	208
124	342	205
125	344	202
126	347	199
127	349	196
128	352	193
129	354	190
130	356	187
131	358	184
132	360	181
133	362	178
134	364	175
135	366	172
136	368	169
137	370	166
138	373	163
139	375	160
140	377	157
141	379	154
142	381	152
143	384	149
144	387	146
145	389	144
146	391	141
147	393	138
148	396	135
149	398	132
150	400	129
151	402	127
152	404	124
153	407	121
154	409	118
155	411	116
156	413	113
157	416	110
158	418	107
159	420	105
160	423	102
161	425	99
162	428	97
163	431	94
164	433	91
165	436	89
166	438	86
167	440	83
168	443	81
169	445	78
170	447	75
171	450	73
172	454	70
173	456	68
174	459	65
175	462	63
176	464	60
177	467	57
178	470	55
179	474	52
180	476	50
181	479	47
182	483	44
183	486	42
184	489	39
185	493	37
186	497	34
187	500	31
188	503	29
189	506	26
190	509	23
191	512	21
192	515	18
193	517	16
194	521	13
195	524	10
196	527	8
197	529	5
198	532	2
199	534	0
